Issue Type,Summary,Description,Priority,Labels,Status,Component
Epic,Operator Dashboard and Internal Tools,"Role-based internal dashboard for inventory, conversations, orders, POS, and operations.",Highest,"dashboard,phase-3",In Progress,dashboard
Task,Implement dashboard authentication and role-based navigation,"Build role-aware navigation and route access for internal staff.",Highest,"dashboard,auth,completed",Done,dashboard
Task,Implement live inventory management screens,"Enable inventory search, edits, restock actions, and movement drill-down.",High,"dashboard,inventory",In Progress,dashboard
Task,Implement WhatsApp inbox and takeover interface,"Show active conversations and allow seamless human takeover.",Highest,"dashboard,whatsapp",In Progress,dashboard
Task,Implement order operations panel,"Provide order listing, status updates, and fulfillment workflow controls.",High,"dashboard,orders",In Progress,dashboard
Task,Implement POS terminal UI in dashboard,"Enable walk-in sales flow from dashboard interface.",High,"dashboard,pos,completed",Done,dashboard
Task,Implement escalation queue view,"Prioritize and manage conversations requiring urgent human action.",High,"dashboard,escalation,completed",Done,dashboard
Task,Implement broadcast promotions tool,"Support posting promotions to business WhatsApp communication channels.",Medium,"dashboard,broadcast",To Do,dashboard
Epic,Reporting and Management Insights,"Operational reporting for sales, stock health, and margin visibility.",High,"reporting,phase-5",Done,analytics
Task,Implement sales summary reporting,"Deliver daily, weekly, and monthly sales totals and trends.",High,"reports,sales,completed",Done,analytics
Task,Implement top-moving parts reporting,"Show highest-volume parts by selected period.",Medium,"reports,inventory,completed",Done,analytics
Task,Implement dead-stock reporting,"Surface slow/non-moving inventory items for liquidation or review.",Medium,"reports,inventory,completed",Done,analytics
Task,Implement gross margin reporting,"Provide margin visibility by item, order, and period.",Medium,"reports,margin,completed",Done,analytics
Task,Implement management dashboard widgets,"Expose key operational KPIs for executive oversight.",Medium,"reports,dashboard,completed",Done,analytics
Epic,Public Website and Customer Experience,"Public site, catalog, and customer self-service paths.",High,"website,phase-4",In Progress,web
Task,Implement mobile-first marketing website pages,"Build services, contact, and business information pages.",Medium,"website,content,completed",Done,web
Task,Implement online catalog browsing experience,"Expose searchable product catalog powered by live inventory data.",High,"website,catalog",To Do,web
Task,Implement website checkout experience via Shopify,"Route customer purchases through secure Shopify checkout.",High,"website,checkout",To Do,web
Task,Implement customer part-request form,"Capture custom part requests and route to sourcing workflow.",Medium,"website,lead-capture",To Do,web
Epic,Quality, Deployment, and Handover,"Final QA, production readiness, go-live, and client training commitments from PRD.",High,"delivery,qa,handover",To Do,delivery
Task,Execute end-to-end QA across all modules,"Validate customer journey, staff operations, integrations, and security paths.",High,"qa",To Do,delivery
Task,Prepare production deployment and runbooks,"Finalize infrastructure setup, environment hardening, and operations documentation.",High,"deployment",To Do,delivery
Task,Perform stakeholder UAT and sign-off cycle,"Run UAT sessions, capture feedback, and complete acceptance closure.",Medium,"uat",To Do,delivery
Task,Deliver handover training and ownership package,"Provide source handover, admin training, and operational onboarding.",Medium,"handover",To Do,delivery
